 STATE COUNTY                    COUNTY_SEA                ZIP_CODE
 AK    CENTRAL                   FAIRBANKS                 99701
 AK    NORTHWESTERN              NOME                      99762
 AK    SOUTH CENTRAL             ANCHORAGE                 99501
 AK    SOUTHEASTERN              JUNEAU                    99801
 AL    AUTAUGA                   PRATTVILLE                36067
 AL    BALDWIN                   BAY MINETTE               36507
 AL    BARBOUR                   CLAYTON                   36016
 AL    BIBB                      CENTREVILLE               35042
 AL    BLOUNT                    ONEONTA                   35121
 AL    BULLOCK                   UNION SPRINGS             36089
 AL    BUTLER                    GREENVILLE                36037
 AL    CALHOUN                   ANNISTON                  36201
 AL    CHAMBERS                  LAFAYETTE                 36862
 AL    CHEROKEE                  CENTRE                    35960
 AL    CHILTON                   CLANTON                   35045
 AL    CHOCTAW                   BUTLER                    36904
 AL    CLARKE                    GROVE HILL                36451
 AL    CLAY                      ASHLAND                   36251
 AL    CLEBURNE                  HEFLIN                    36264
 AL    COFFEE                    ELBA                      36323
 AL    COLBERT                   SHEFFIELD                 35660
 AL    CONECUH                   EVERGREEN                 36401
 AL    COOSA                     ROCKFORD                  35136
 AL    COVINGTON                 ANDALUSIA                 36420
 AL    CRENSHAW                  LUVERNE                   36049
 AL    CULLMAN                   CULLMAN                   35055
 AL    DALE                      OZARK                     36360
 AL    DALLAS                    SELMA                     36701
 AL    DE KALB                   FORT PAYNE                35967
 AL    ELMORE                    WETUMPKA                  36092
 AL    ESCAMBIA                  BREWTON                   36426
 AL    ETOWA                     GADSDEN                   35900
 AL    FAYETTE                   FAYETTE                   35555
 AL    FRANKLIN                  RUSSELLVILLE              35653
 AL    GENEVA                    GENEVA                    36340
 AL    GREENE                    EUTAW                     35462
 AL    HALE                      GREENSBORO                36744
 AL    HENRY                     ABBEVILLE                 36310
 AL    HOUSTON                   DOTHAN                    36301
 AL    JACKSON                   SCOTTSBORO                35768
 AL    JEFFERSON                 BIRMINGHAM                35201
 AL    LAMAR                     VERNON                    35592
 AL    LAUDERDALE                FLORENCE                  35630
 AL    LAWRENCE                  MOULTON                   35650
 AL    LEE                       OPELIKA                   36801
 AL    LIMESTONE                 ATHENS                    35611
 AL    LOWNDES                   HAYNEVILLE                36040
 AL    MACON                     TUSKEGEE                  36083
 AL    MADISON                   HUNTSVILLE                35801
 AL    MARENGO                   LINDEN                    36748
 AL    MARION                    HAMILTON                  35570
 AL    MARSHALL                  GUNTERSVILLE              35976
 AL    MOBILE                    MOBILE                    36601
 AL    MONROE                    MONROEVILLE               36460
 AL    MONTGOMERY                MONTGOMERY                36101
 AL    MORGAN                    DECATUR                   35601
 AL    PERRY                     MARION                    36756
 AL    PICKENS                   CARROLLTON                35447
 AL    PIKE                      TROY                      36081
 AL    RANDOLPH                  WEDOWEE                   36278
 AL    RUSSELL                   PHENIX CITY               36867
 AL    SAINT CLAIR               ASHVILLE                  35953
 AL    SAINT CLAIR               PELL CITY                 35125
 AL    SHELBY                    COLUMBIANA                35051
 AL    SUMTER                    LIVINGSTON                35470
 AL    TALLADEGA                 TALLADEGA                 35160
 AL    TALLAPOOSA                DADEVILLE                 36853
 AL    TUSCALOOSA                TUSCALOOSA                35401
 AL    WALKER                    JASPER                    35501
 AL    WASHINGTON                CHATOM                    36518
 AL    WILCOX                    CAMDEN                    36726
 AL    WINSTON                   DOUBLE SPRINGS            35553
 AR    ARKANSAS                  DE WITT                   72042
 AR    ARKANSAS                  STUTTGART                 72160
 AR    ASHLEY                    HAMBURG                   71646
 AR    BAXTER                    MOUNTAIN HOME             72653
 AR    BENTON                    BENTONVILLE               72712
 AR    BOONE                     HARRISON                  72601
 AR    BRADLEY                   WARREN                    71671
 AR    CALHOUN                   HAMPTON                   71744
